Character,Move Name,Alt Names,Guard,Properties,Damage,Meter,On Hit,On Block,Startup,Active,Recovery,Hitstun,Blockstun,Hitstop,On Pushblock,Footer,Thumbnail URL,Footer URL
ANNIE,2HK,"MACRO_2HK
STUN DIPPER
BIG DIPPER
DIPPER",Low,Sweep,"700, 900,
[650 x3 (70x3)]",7.5% x2,Soft KD (Invuln.),-11 [+11],12,"17, (Varies), 3","10 (whiff), 24 (hit/block)","38, 14","24, 15","7, 9","-24 to -1, +0 to +2","- Cannot combo afterwards when hitting OTG, unlike other sweeps. However, the install version can always combo afterwards, regardless of whether it hits OTG or not.
- Has a buffer into 5LP to make this conversion more consistent.",https://wiki.gbl.gg/images/e/e6/SG_ann_chk_hb.png,https://wiki.gbl.gg/images/2/23/SG_ann_chk_fd.png
ANNIE,JLP,MACRO_JLP,High,-,"250, [300 (35)]",2.5%,+12,+14,7,3,7,21,24,7,-,,https://wiki.gbl.gg/images/0/0d/SG_ann_jlp_hb.png,https://wiki.gbl.gg/images/9/9c/SG_ann_jlp_fd.png
ANNIE,JMP,MACRO_JMP,High,-,"250 x4,
[450 x3 (45x3)]",2% x4,+16,+7,15,"1, 2, 3, 3",11,25 x4,18 x4,3 x4,-,,https://wiki.gbl.gg/images/e/e4/SG_ann_jmp_hb.png,https://wiki.gbl.gg/images/c/cc/SG_ann_jmp_fd.png
ANNIE,JHP,"MACRO_JHP
ROLLING",High,-,"875,
[450 x3 (45x3)]",10%,-2,-2,16,2,25,27,22,12,-,"- While in Star Power, this move will only spawn stars once per jump.",https://wiki.gbl.gg/images/4/4f/SG_ann_jhp_hb.png,https://wiki.gbl.gg/images/d/dd/SG_ann_jhp_fd.png
ANNIE,JLK,MACRO_JLK,High,-,"300, [300 (35)]",2.5%,+9,+12,8,3,8,19,22,7,-,,https://wiki.gbl.gg/images/f/f0/SG_ann_jlk_hb.png,https://wiki.gbl.gg/images/f/fd/SG_ann_jlk_fd.png
ANNIE,JMK,MACRO_JMK,High,-,"625, [450 (45)]",2.5%,+3,±0,"8, (34), 6",4,20,26,29,9,-,- Hold to extend startup frames to float. Carries air momentum.,https://wiki.gbl.gg/images/9/98/SG_ann_jmk_hb.png,https://wiki.gbl.gg/images/4/4b/SG_ann_jmk_fd.png
ANNIE,JHK,"MACRO_JHK
HELM BREAKER
HELMBREAKER","High, Mid",-,"800, 900,
[650 (70)]",7.5% x2,KD,-9 [+13],18,"Until ground, 3",20,"20+ (Varies), 50","22, 16","9, 15",-,"- Causes a Ground Bounce while install is active.
- Can steer while falling.",https://wiki.gbl.gg/images/5/56/SG_ann_jhk_hb.png,https://wiki.gbl.gg/images/7/70/SG_ann_jhk_fd.png
ANNIE,6MP,"6.MP
FMP
F.MP",Low,-,500,7.5%,-4,-2 [-3],16,3,24,22,18,0,-,"- Standing low.
- Causes stagger if used as the first move in a chain.
- Annie's only normal that does not spawn a star while in Star Power (so it can still function as a Stagger tool).",https://wiki.gbl.gg/images/8/8e/SG_ann_fmp_hb.png,https://wiki.gbl.gg/images/f/fb/SG_ann_fmp_fd.png
ANNIE,6HP,"6.HP
FHP
F.HP
OVERHEAD
SLOWVERHEAD",High,-,"1300,
[650 (70)]",10%,Ground Bounce,-13 [+2],28,4,30,28,20,16,-,- Command overhead.,https://wiki.gbl.gg/images/0/08/SG_ann_fhp_hb.png,https://wiki.gbl.gg/images/e/e1/SG_ann_fhp_fd.png
ANNIE,THROW,MACRO_THROW,Throw,50% Damage Scaling,900,5%,KD,N/A,7,1,28,N/A,N/A,N/A,N/A,"- Despite her small size, Annie sports one of the longest throws in the game.
- Use M Crescent Cut or L North Knuckle for meterless conversions, and H North Knuckle for corner carry.",https://wiki.gbl.gg/images/5/5f/SG_ann_throw_hb.png,https://wiki.gbl.gg/images/4/46/SG_ann_throw_fd.png
ANNIE,AIR THROW,MACRO_AIR_THROW,Air Throw,50% Damage Scaling,1100,"5%, 9%",KD,N/A,7,3,18,N/A,N/A,N/A,N/A,- Easy to convert off of using OTG.,https://wiki.gbl.gg/images/7/72/SG_ann_airthrow_hb.png,https://wiki.gbl.gg/images/8/86/SG_ann_airthrow_fd.png
ANNIE,TAG IN,MACRO_TAG,Mid,Tag,750,7.5%,Ground Bounce,-31,43,3,42,10,13,12,-,,https://wiki.gbl.gg/images/2/27/SG_ann_tag_hb.png,https://wiki.gbl.gg/images/c/ce/SG_ann_tag_fd.png
ANNIE,SNAPBACK,MACRO_SNAPBACK,Mid,Snapback,0,-100%,N/A,-17,12+3,3,32,14,17,(9) 13,-,- Snap with above average range.,https://wiki.gbl.gg/images/e/e3/SG_ann_snap_hb.png,https://wiki.gbl.gg/images/b/b3/SG_ann_snap_fd.png
ANNIE,L CRESCENT CUT,"MACRO_236LP
L GUNFLAME
L FIREBALL
L CUT
CUT L
L CRESCENT
CRESCENT L
CRESCENT CUT L",Mid,Projectile,350 (100),(2.5%) 6%,+3,±0,17,"1, 24",19,15,12,6,-,"- Annie sends out a crescent-shaped projectile that travels horizontally.
- See also M CRESCENT CUT, H CRESCENT CUT.",https://wiki.gbl.gg/images/2/2d/SG_ann_qcfp_hb.png,https://wiki.gbl.gg/images/b/b9/SG_ann_qcflp_fd.png
ANNIE,M CRESCENT CUT,"MACRO_236MP
M GUNFLAME
M FIREBALL
M CUT
CUT M
M CRESCENT
CRESCENT M
CRESCENT CUT M",Mid,Projectile,550 (200),(2.5%) 6%,+10,+4,23,"1, 46",17,16,12,8,-,"- Annie sends out a crescent-shaped projectile that travels horizontally.
- See also L CRESCENT CUT, H CRESCENT CUT.",https://wiki.gbl.gg/images/2/2d/SG_ann_qcfp_hb.png,https://wiki.gbl.gg/images/7/73/SG_ann_qcfmp_fd.png
ANNIE,H CRESCENT CUT,"MACRO_236HP
GUNFLAME
H GUNFLAME
H FIREBALL
H CUT
CUT H
H CRESCENT
CRESCENT H
CRESCENT CUT H
CRESCENT",Mid,Projectile,750 (300),(2.5%) 6%,+22,+12,34,"1, -",14,23,13,10,-,"- Annie sends out a crescent-shaped projectile that travels horizontally.
- See also L CRESCENT CUT, M CRESCENT CUT.",https://wiki.gbl.gg/images/2/2d/SG_ann_qcfp_hb.png,https://wiki.gbl.gg/images/1/12/SG_ann_qcfhp_fd.png
ANNIE,L NORTH KNUCKLE,"MACRO_214LP
L KNUCKLE",Mid,-,450 (100),(2.5%) 13.85%,±0,-3,17,7,24,24,21,13,-,"- Annie lunges forward with a punch.
- -2 on block when perfectly spaced with no followup, due to variable recovery.
- See also L NORTH KNUCKLE FOLLOWUP.",https://wiki.gbl.gg/images/3/3e/SG_ann_qcbp_hb.png,https://wiki.gbl.gg/images/a/a0/SG_ann_qcblp_fd.png
ANNIE,L NORTH KNUCKLE FOLLOWUP,"L KNUCKLE FOLLOWUP
L KNUCKLE FOLLOW UP
L KNUCKLE FOLLOW-UP
214LP~P
214 LP~P
214+LP~P
QCBLP~P
QCB LP~P
QCB+LP~P
QCB.LP~P
214LP,P
214 LP,P
214+LP,P
QCBLP,P
QCB LP,P
QCB+LP,P
QCB.LP,P
214LP, P
214 LP, P
214+LP, P
QCBLP, P
QCB LP, P
QCB+LP, P
QCB.LP, P
214LP P
214 LP P
214+LP P
QCBLP P
QCB LP P
QCB+LP P
QCB.LP P",Mid,-,600 (150),12.60%,KD,-7,5,3,25,20,20,9,-,"- L followup pops up opponents for conversions.
- As an assist, applies one extra hits' worth of damage scaling.",https://wiki.gbl.gg/images/3/3e/SG_ann_qcbp_hb.png,https://wiki.gbl.gg/images/d/d7/SG_ann_qcbpx2_fd.png
ANNIE,M NORTH KNUCKLE,"MACRO_214MP
M KNUCKLE",Mid,-,550 (100),(2.5%) 13.85%,-4,-6,20,9,30,27,25,13,-,"- Annie lunges forward with a punch.
- -4 on block when perfectly spaced with no followup, due to variable recovery.
- See also M NORTH KNUCKLE FOLLOWUP.",https://wiki.gbl.gg/images/3/3e/SG_ann_qcbp_hb.png,https://wiki.gbl.gg/images/2/24/SG_ann_qcbmp_fd.png
ANNIE,M NORTH KNUCKLE FOLLOWUP,"M KNUCKLE FOLLOWUP
M KNUCKLE FOLLOW UP
M KNUCKLE FOLLOW-UP
214MP~P
214 MP~P
214+MP~P
QCBMP~P
QCB MP~P
QCB+MP~P
QCB.MP~P
214MP,P
214 MP,P
214+MP,P
QCBMP,P
QCB MP,P
QCB+MP,P
QCB.MP,P
214MP, P
214 MP, P
214+MP, P
QCBMP, P
QCB MP, P
QCB+MP, P
QCB.MP, P
214MP P
214 MP P
214+MP P
QCBMP P
QCB MP P
QCB+MP P
QCB.MP P",Mid,-,750 (150),12.60%,KD,-10,5,3,30,20,22,9,-,"- M followup knocks opponents fullscreen.
- As an assist, applies one extra hits' worth of damage scaling.",https://wiki.gbl.gg/images/3/3e/SG_ann_qcbp_hb.png,https://wiki.gbl.gg/images/d/d7/SG_ann_qcbpx2_fd.png
ANNIE,H NORTH KNUCKLE,"MACRO_214HP
NORTH KNUCKLE
KNUCKLE
H KNUCKLE",Mid,-,650 (100),(2.5%) 13.85%,KD,-15,26,19,26,30,19,13,-,"- Annie lunges forward with a punch.
- Much longer range but more unsafe than other versions.
- -7 on block when perfectly spaced with no followup, due to variable recovery.
- See also H NORTH KNUCKLE FOLLOWUP.",https://wiki.gbl.gg/images/3/3e/SG_ann_qcbp_hb.png,https://wiki.gbl.gg/images/3/39/SG_ann_qcbhp_fd.png
ANNIE,H NORTH KNUCKLE FOLLOWUP,"H KNUCKLE FOLLOWUP
H KNUCKLE FOLLOW UP
H KNUCKLE FOLLOW-UP
214HP~P
214 HP~P
214+HP~P
QCBHP~P
QCB HP~P
QCB+HP~P
QCB.HP~P
214HP,P
214 HP,P
214+HP,P
QCBHP,P
QCB HP,P
QCB+HP,P
QCB.HP,P
214HP, P
214 HP, P
214+HP, P
QCBHP, P
QCB HP, P
QCB+HP, P
QCB.HP, P
214HP P
214 HP P
214+HP P
QCBHP P
QCB HP P
QCB+HP P
QCB.HP P",Mid,-,900 (150),12.60%,Wall Splat,-16,5,3,41,22,27,9,-,"- Wall splats the opponent once per combo.
- As an assist, applies one extra hits' worth of damage scaling.
- As an assist, blockstun reduced to 16 and blockstop reduced to 8.",https://wiki.gbl.gg/images/3/3e/SG_ann_qcbp_hb.png,https://wiki.gbl.gg/images/d/d7/SG_ann_qcbpx2_fd.png
ANNIE,L DESTRUCTION PILLAR,"MACRO_623LP
L DP
LDP
L PILLAR
L VOLCANIC VIPER
L VV
LVV",Mid,Invuln. (Full) (Frame 1),700 (100),(2.5%) 7.5%,-4,-27,9,"2, 2",46,45,22,12,-,"- Annie does an uppercut-style reversal, reminiscent of Sol's Volcanic Viper.
- See M DESTRUCTION PILLAR, H DESTRUCTION PILLAR.",https://wiki.gbl.gg/images/f/ff/SG_ann_dpp_hb.png,https://wiki.gbl.gg/images/1/1b/SG_ann_dplp_fd.png
ANNIE,"M 
DESTRUCTION PILLAR","MACRO_623MP
M DP
MDP
M PILLAR
M VOLCANIC VIPER
M VV
MVV",Mid,Invuln. (Full) (Frame 1),900 (150),(2.5%) 7.5%,-4,-29,11,"2, 5",48,50,25,16,-,"- Annie does an uppercut-style reversal, reminiscent of Sol's Volcanic Viper.
- See L DESTRUCTION PILLAR, H DESTRUCTION PILLAR.",https://wiki.gbl.gg/images/f/ff/SG_ann_dpp_hb.png,https://wiki.gbl.gg/images/a/ae/SG_ann_dpmp_fd.png
ANNIE,H DESTRUCTION PILLAR,"MACRO_623HP
DP
H DP
HDP
DESTRUCTION PILLAR
PILLAR
H PILLAR
H VOLCANIC VIPER
H VV
HVV
VOLCANIC VIPER
VV",Mid,Invuln. (Full) (Frame 1),1100 (200),(2.5%) 7.5%,KD OR -20,-32,13,"2, 11",48,40,28,20,-,"- Annie does an uppercut-style reversal, reminiscent of Sol's Volcanic Viper.
- HP version's knockdown only occurs once per combo, currently does not work for happy birthdays.
- As an assist, blockstun reduced to 16 and blockstop reduced to 8.
- See L DESTRUCTION PILLAR, M DESTRUCTION PILLAR.
- See PILLAR OF CREATION for the similarly-named Level 2 super.",https://wiki.gbl.gg/images/f/ff/SG_ann_dpp_hb.png,https://wiki.gbl.gg/images/b/b5/SG_ann_dphp_fd.png
ANNIE,RE ENTRY,"MACRO_J236K
RE-ENTRY
RE-ENTRY X1
RE ENTRY X1
DIVEKICK X1
DIVEKICK",Mid,-,300 (100),(2.5%) 7.5%,+11,-5,15,Until ground,24,33,20,13 (10 on block),-,"- Annie does up to three divekicks, with the strength determining the angle of her dive.
- L versions dives at a 30° angle, M at a 45° angle, and H at a 50° angle (rough estimates).
- Not a rekka and will do the next followup in the chain. After the second dive, only the third dive will happen afterwards.
- See also RE ENTRY X2, RE ENTRY X3.",https://wiki.gbl.gg/images/6/63/SG_ann_jqcfk_hb.png,https://wiki.gbl.gg/images/6/6c/SG_ann_jqcfkx1_fd.png
ANNIE,RE ENTRY X2,"RE-ENTRY X2
DIVEKICK X2
J236K~K
J236 K~K
J236+K~K
JQCFK~K
JQCF K~K
JQCF+K~K
J.236K~K
J.236 K~K
J.236+K~K
J.QCFK~K
J.QCF K~K
J.QCF+K~K
J 236K~K
J 236 K~K
J 236+K~K
J QCFK~K
J QCF K~K
J QCF+K~K
JUMPING 236K~K
JUMPING 236 K~K
JUMPING 236+K~K
JUMPING QCFK~K
JUMPING QCF K~K
JUMPING QCF+K~K
J236K,K
J236 K,K
J236+K,K
JQCFK,K
JQCF K,K
JQCF+K,K
J.236K,K
J.236 K,K
J.236+K,K
J.QCFK,K
J.QCF K,K
J.QCF+K,K
J 236K,K
J 236 K,K
J 236+K,K
J QCFK,K
J QCF K,K
J QCF+K,K
JUMPING 236K,K
JUMPING 236 K,K
JUMPING 236+K,K
JUMPING QCFK,K
JUMPING QCF K,K
JUMPING QCF+K,K",Mid,-,400 (100),(2.5%) 7.5%,+11,-5,15,Until ground,24,33,20,13 (10 on block),-,"- Annie does up to three divekicks, with the strength determining the angle of her dive.
- L versions dives at a 30° angle, M at a 45° angle, and H at a 50° angle (rough estimates).
- Not a rekka and will do the next followup in the chain. After the second dive, only the third dive will happen afterwards. 
- See also RE ENTRY, RE ENTRY X3.",https://wiki.gbl.gg/images/6/63/SG_ann_jqcfk_hb.png,https://wiki.gbl.gg/images/c/c6/SG_ann_jqcfkx2_fd.png
ANNIE,RE ENTRY X3,"RE-ENTRY X3
DIVEKICK X3
J236K~K~K
J236 K~K~K
J236+K~K~K
JQCFK~K~K
JQCF K~K~K
JQCF+K~K~K
J.236K~K~K
J.236 K~K~K
J.236+K~K~K
J.QCFK~K~K
J.QCF K~K~K
J.QCF+K~K~K
J 236K~K~K
J 236 K~K~K
J 236+K~K~K
J QCFK~K~K
J QCF K~K~K
J QCF+K~K~K
JUMPING 236K~K~K
JUMPING 236 K~K~K
JUMPING 236+K~K~K
JUMPING QCFK~K~K
JUMPING QCF K~K~K
JUMPING QCF+K~K~K
J236K,K,K
J236 K,K,K
J236+K,K,K
JQCFK,K,K
JQCF K,K,K
JQCF+K,K,K
J.236K,K,K
J.236 K,K,K
J.236+K,K,K
J.QCFK,K,K
J.QCF K,K,K
J.QCF+K,K,K
J 236K,K,K
J 236 K,K,K
J 236+K,K,K
J QCFK,K,K
J QCF K,K,K
J QCF+K,K,K
JUMPING 236K,K,K
JUMPING 236 K,K,K
JUMPING 236+K,K,K
JUMPING QCFK,K,K
JUMPING QCF K,K,K
JUMPING QCF+K,K,K",Mid,-,800 (200),(2.5%) 7.5%,KD,-8 (At Best),15,Until ground,24,33,20,13 (10 on block),-,"- Annie does up to three divekicks, with the strength determining the angle of her dive.
- L versions dives at a 30° angle, M at a 45° angle, and H at a 50° angle (rough estimates).
- Not a rekka and will do the next followup in the chain. After the second dive, only the third dive will happen afterwards.
- See also RE ENTRY, RE ENTRY X2.",https://wiki.gbl.gg/images/6/63/SG_ann_jqcfk_hb.png,https://wiki.gbl.gg/images/8/8f/SG_ann_jqcfx3_fd.png
ANNIE,SAGAN BEAM,"MACRO_236PP
BEAM SUPER
LEVEL 1",Mid,"Projectile, Invuln. (Full) (Frames 9-15)",250 x23 (40 x23),-100%,KD,-26,9+6,37,37,34 x23,27 x23,1 x23,-,"- Annie fires a fullscreen beam from Sagan.
- After the first projectile is made, another is made 2f later.
- Can be done in the air. See AIR SAGAN BEAM.",https://wiki.gbl.gg/images/1/1d/SG_ann_qcfpp_hb.png,https://wiki.gbl.gg/images/2/27/SG_ann_qcfpp_fd.png
ANNIE,AIR SAGAN BEAM,"MACRO_J236PP
SAGAN BEAM AIR
AIR BEAM SUPER
AIR LEVEL 1
LEVEL 1 AIR",Mid,"Projectile, Invuln. (Full) (Frames 9-15)",250 x23 (40 x23),-100%,KD,-18,9+6,30,30,34 x23,27 x23,1 x23,-,"- Annie fires a fullscreen beam from Sagan.
- After the first projectile is made, another is made 2f later.
- If blocked, Annie cannot block until she lands.",https://wiki.gbl.gg/images/1/1d/SG_ann_qcfpp_hb.png,https://wiki.gbl.gg/images/1/18/SG_ann_jqcfpp_fd.png
ANNIE,METEOR STRIKE,"MACRO_236KK
ARM
BIONIC ARM
ARM SUPER
STINGER
STINGER SUPER
METEOR",Mid,Invuln. (Full) (Frames 1-17),2000 (350),-100%,KD,-25,6+2,25,42,21,24,(5) 20,-,- Annie lunges forward with a fierce sword strike.,https://wiki.gbl.gg/images/0/05/SG_ann_qcfkk_hb.png,https://wiki.gbl.gg/images/a/a9/SG_ann_qcfkk_fd.png
ANNIE,STAR POWER,"22KK
22.KK
22+KK
INSTALL
ACTIVATION",N/A,Invuln. (Full) (Frame 12),N/A,"-100% (activate),
-0.0925%/f (while active)",N/A,N/A,12,N/A,12,N/A,N/A,N/A,N/A,"- Annie powers up, allowing some of her attacks to shoot additional star projectiles.
- Costs an entire bar up front and requires 2 bars to be stocked to use at all.
- Drains 0.0925% meter per frame until emptied or a Star Power super is used. Drain is cut in half when in hitstun.",https://wiki.gbl.gg/images/b/b1/SG_ann_ddkk.png,https://wiki.gbl.gg/images/5/57/SG_ann_ddkk_fd.png
ANNIE,GRAVITY COLLAPSE,"UNINSTALL
COLLAPSE",Mid,Invuln. (Full) (Frames 1-14),1350 (400),-100%,KD,-22,8+0,3,57,24,27,10,-,"- Annie pops the enemy up in the air with a burst that ends Star Power mode.
- Can be done in the air. See AIR GRAVITY COLLAPSE.",https://wiki.gbl.gg/images/a/a8/SG_ann_spddkk_hb.png,https://wiki.gbl.gg/images/2/28/SG_ann_spddkk_fd.png
ANNIE,AIR GRAVITY COLLAPSE,"AIR UNINSTALL
UNINSTALL AIR
GRAVITY COLLAPSE AIR
COLLAPSE AIR
AIR COLLAPSE",Mid,Invuln. (Full) (Frames 1-13),1350 (400),-100%,KD,-17,7+0,3,Until ground,26,29,10,-,- Annie pops the enemy up in the air with a burst that ends Star Power mode.,https://wiki.gbl.gg/images/a/a8/SG_ann_spddkk_hb.png,https://wiki.gbl.gg/images/9/9c/SG_ann_spjddkk_fd.png
ANNIE,PHOTO BOP,"INSTALL 214PP
PHOTO",Mid,"Hit Grab, Invuln. (Full) (Frames 1-16)",3900/5200/6500 (400),-300%,Stagger,-24,6+6,3,55,33,21,12,-,- Annie drains her remaining meter and takes a photo with the enemy.,https://wiki.gbl.gg/images/c/c5/SG_ann_spqcbpp_hb.png,https://wiki.gbl.gg/images/f/f9/SG_ann_spqcbpp_fd.png
ANNIE,PILLAR OF CREATION,"MACRO_214KK
PILLAR SUPER
POC
LEVEL2
LEVEL 2
LVL2
LVL 2
LV2
LV 2",Mid,"Projectile, Invuln. (Full)
 (Frames 10-11), 70%
Damage Scaling","500, 1250 (250)",-200%,KD,-53,10+0,"6,4",63,(19) 22,13,9,-,"- Annie stabs the ground and unleashes a cosmic explosion that tracks the opponent's location,
- Is technically three hits, but the first hit only affects opponents in an OTG state so they do not fall out, and the third hit doesn't happen on block.
- Has less recovery on successful hit only to allow for easier followups. 
- As a DHC, damage is scaled to 40%, super freeze ends earlier, and the hitstop on the second hit is reduced.
- See DESTRUCTION PILLAR for the meterless DP that also contains the word ""Pillar"".",https://wiki.gbl.gg/images/0/07/SG_ann_qcbkk_hb.png,https://wiki.gbl.gg/images/5/5f/SG_ann_qcbkk_fd.png
ANNIE,GRAVITY SLINGSHOT,MACRO_214PP,Mid,"Projectile, Invuln. (Full) (Frames 8-16)",400 x25 (50 x25),-300%,+134,+130,10+3,"6, 7, 6...",55,30 x25,24 x25,2 x25 (4 on block),-,"- Annie sends out a multi-hit disc projectile that homes to the enemy's location.
- Projectile lasts for 160f(?) total.",https://wiki.gbl.gg/images/8/87/SG_ann_qcbpp_hb.png,https://wiki.gbl.gg/images/b/b8/SG_ann_qcbpp_fd.png
ANNIE,TAUNT,"4628LP
4628+LP
6428LP
6428+LP
TAUNT COUNTER
COUNTER
REFLECTION NEBULA",N/A,"Armor, No Cancel (Supers)",N/A,0%,N/A,N/A,5,30,32,N/A,N/A,N/A,N/A,"- Annie's taunt acts as a counter against mids and high strikes only (?)
- See TAUNT RIPOSTE for the move that activates on a successful counter.",https://wiki.gbl.gg/images/5/5a/SG_ann_taunt_hb.png,https://wiki.gbl.gg/images/c/cc/SG_ann_taunt_fd.png
ANNIE,TAUNT RIPOSTE,"TAUNT HIT
RIPOSTE
COUNTER RIPOSTE
COUNTER ACTIVATE
COUNTER ACTIVATION",Mid,"No Cancel (Supers), Invuln. (Full) (Frames 1-19)",8,1.25%,KD,+6,19,3,21,20,24,-,-,- This is for the move that activates on a successful taunt counter. See TAUNT for the taunt itself.,https://wiki.gbl.gg/images/5/5a/SG_ann_taunt_hb.png,https://wiki.gbl.gg/images/0/09/SG_ann_taunt_hit_fd.png
ANNIE,ASSIST RECOVERY,"ASSIST
ASSIST TAUNT",N/A,-,N/A,0%,N/A,N/A,N/A,N/A,59(?),N/A,N/A,N/A,N/A,"- Amount of time it takes for the character to turn invulnerable after they finish performing their assist action.
- Longer recovery → more time to punish the assist.",https://wiki.gbl.gg/images/4/41/SG_ann_assist.png,-
BEOWULF,5LP,MACRO_5LP,Mid,-,250,2.50%,2,5,7,2,13,16,19,7,12,"- Holding the button extends recovery indefinitely, building a level of Hype for every 35f held",https://wiki.gbl.gg/images/7/74/SG_beo_slp_hb.png,https://wiki.gbl.gg/images/a/ae/SG_beo_slp_fd.png
